Breakout,Age,Pos_Group,Bats,Throws,Height,Weight,Country,Class_Type,Prospect_Grouping,Prev_Season_WAR,Season_High_WAR,MLB_Certainty,MLB_BB,MLB_K,MLB_AVG,MLB_ISO,MLB_Spd,MLB_wRC,MiLB_Certainty,MiLB_BB,MiLB_K,MiLB_AVG,MiLB_ISO,MiLB_Spd,MiLB_wRC
0,24,Corner Outfielder,R,R,73,215,USA,High School,Top 10 Prospect,6.3,6.3,2000 or more MLB PA,0.101,0.239,0.277,0.211,6,119,1000-1499 MiLB PA,0.112,0.197,0.288,0.193,5.9,134
0,25,Outfielder,R,R,75,215,USA,High School,Top 10 Prospect,4.3,4.3,1000-1499 MLB PA,0.077,0.252,0.255,0.132,7.8,94,1500-1999 MiLB PA,0.119,0.23,0.305,0.172,7.4,139
0,27,Outfielder,L,L,71,200,USA,Big D1 College,Unranked Prospect,2.3,2.3,500-999 MLB PA,0.063,0.159,0.298,0.125,3.7,115,1500-1999 MiLB PA,0.079,0.121,0.301,0.132,5.8,115
0,27,Infielder,R,R,71,202,USA,D1 College,Unranked Prospect,0.4,0.4,500-999 MLB PA,0.083,0.123,0.249,0.091,3.4,90,2000 or more MiLB PA,0.08,0.127,0.309,0.134,5,126
0,26,Outfielder,L,L,75,210,USA,Big D1 College,Top 100 Prospect,-1.1,1.8,500-999 MLB PA,0.072,0.256,0.215,0.207,5.9,80,2000 or more MiLB PA,0.053,0.19,0.275,0.191,6.9,109
0,22,Corner Infielder,L,R,77,220,USA,High School,Top 25 Prospect,0.6,0.6,500-999 MLB PA,0.08,0.228,0.277,0.166,2,117,1500-1999 MiLB PA,0.076,0.148,0.301,0.171,3.5,131
0,22,Middle Infielder,R,R,71,200,PAN,International Amateur,Unranked Prospect,1.7,1.7,500-999 MLB PA,0.09,0.139,0.256,0.059,3.3,85,1500-1999 MiLB PA,0.079,0.126,0.27,0.084,5.3,96
0,27,Corner Infielder,R,R,74,210,USA,Big D1 College,Unranked Prospect,-0.5,2.1,500-999 MLB PA,0.065,0.159,0.269,0.137,2.6,95,2000 or more MiLB PA,0.078,0.179,0.298,0.17,3.5,126
0,25,Corner Infielder,R,R,74,230,USA,D1 College,Top 100 Prospect,0.4,0.4,500-999 MLB PA,0.051,0.144,0.243,0.13,3.8,75,1000-1499 MiLB PA,0.066,0.142,0.305,0.159,5.8,125
0,27,Utility,L,R,72,195,USA,Big D1 College,Unranked Prospect,-0.5,2.7,1000-1499 MLB PA,0.086,0.166,0.283,0.131,5.4,105,1000-1499 MiLB PA,0.119,0.11,0.295,0.147,6.9,128
0,25,Catcher,L,R,71,228,USA,Big D1 College,Unranked Prospect,4.5,4.5,500-999 MLB PA,0.124,0.23,0.27,0.183,3,120,500-999 MiLB PA,0.125,0.187,0.28,0.144,2.4,126
0,26,Catcher,R,R,72,200,USA,D1 College,Unranked Prospect,5.8,5.8,500-999 MLB PA,0.061,0.187,0.26,0.106,2.7,84,1000-1499 MiLB PA,0.114,0.141,0.298,0.161,3.7,132
0,25,Middle Infielder,B,R,70,190,NIC,International Amateur,Unranked Prospect,-0.1,0.9,500-999 MLB PA,0.096,0.211,0.236,0.092,7.7,80,1000-1499 MiLB PA,0.117,0.177,0.286,0.098,8.2,112
0,25,Infielder,L,R,70,190,USA,D1 College,Unranked Prospect,0.4,0.4,Fewer than 500 MLB PA,0.085,0.172,0.264,0.086,3.9,88,1500-1999 MiLB PA,0.086,0.112,0.276,0.13,5.4,105
0,25,Corner Infielder,L,L,76,220,USA,Big D1 College,Top 100 Prospect,1.3,2.9,500-999 MLB PA,0.119,0.225,0.271,0.189,2.9,123,500-999 MiLB PA,0.116,0.208,0.288,0.179,2.2,138
0,25,Corner Infielder,L,R,74,250,USA,Big D1 College,Top 50 Prospect,-0.9,-0.2,500-999 MLB PA,0.082,0.262,0.248,0.106,2.3,86,1000-1499 MiLB PA,0.078,0.192,0.308,0.178,2.5,129
0,25,Outfielder,L,L,71,210,VEN,International Amateur,Top 100 Prospect,2.6,2.6,1000-1499 MLB PA,0.066,0.179,0.282,0.12,5.6,88,1500-1999 MiLB PA,0.081,0.113,0.314,0.127,6.7,122
0,25,Middle Infielder,R,R,72,188,USA,Big D1 College,Top 25 Prospect,0.8,2.3,1000-1499 MLB PA,0.076,0.18,0.249,0.137,3.6,87,Fewer than 500 MiLB PA,0.073,0.127,0.322,0.197,3.3,149
0,25,Corner Infielder,B,L,76,220,USA,Big D1 College,Top 25 Prospect,0.6,0.6,500-999 MLB PA,0.114,0.221,0.227,0.157,1.3,93,500-999 MiLB PA,0.158,0.171,0.283,0.175,1.5,132
1,25,Catcher,R,R,73,213,USA,Big D1 College,Top 10 Prospect,1.8,4,500-999 MLB PA,0.074,0.138,0.294,0.168,2.9,124,500-999 MiLB PA,0.131,0.136,0.333,0.209,4.3,154
0,24,Corner Infielder,L,L,75,245,USA,Junior College,Top 25 Prospect,0.8,1,500-999 MLB PA,0.117,0.185,0.259,0.201,4.2,121,1500-1999 MiLB PA,0.124,0.152,0.29,0.174,4.1,133
0,25,Middle Infielder,B,R,72,205,USA,D1 College,Top 100 Prospect,3.2,3.2,500-999 MLB PA,0.086,0.255,0.232,0.186,5.6,101,1000-1499 MiLB PA,0.109,0.217,0.27,0.185,6.3,127
0,26,Corner Infielder,L,R,76,255,USA,Junior College,Top 100 Prospect,-0.5,0.8,1000-1499 MLB PA,0.065,0.315,0.252,0.196,3.4,90,2000 or more MiLB PA,0.079,0.245,0.318,0.279,4,147
0,27,Outfielder,R,R,76,205,USA,Big D1 College,Top 100 Prospect,2.2,3.3,1000-1499 MLB PA,0.091,0.289,0.251,0.155,7,98,1500-1999 MiLB PA,0.119,0.234,0.269,0.132,7.1,117
0,27,Middle Infielder,R,R,73,195,USA,Big D1 College,Top 100 Prospect,0.5,0.5,Fewer than 500 MLB PA,0.062,0.224,0.273,0.112,5.2,98,1500-1999 MiLB PA,0.101,0.196,0.286,0.146,6.3,126
0,26,Corner Infielder,R,R,73,213,USA,D1 College,Top 10 Prospect,6.3,7.5,2000 or more MLB PA,0.112,0.198,0.274,0.24,4.4,134,500-999 MiLB PA,0.108,0.179,0.3,0.241,3.6,151
0,29,Corner Infielder,R,R,74,213,USA,D1 College,Unranked Prospect,2.2,2.2,500-999 MLB PA,0.07,0.211,0.298,0.131,2.7,119,1500-1999 MiLB PA,0.097,0.195,0.307,0.224,4.8,139
0,24,Utility,L,R,73,205,USA,Big D1 College,Top 25 Prospect,3,3,Fewer than 500 MLB PA,0.106,0.21,0.273,0.144,6.2,117,500-999 MiLB PA,0.142,0.127,0.28,0.155,5.9,118
